time,pos_error,Position [cnt],Actual Velocity 0x606C,Velocity [cnt/sec],Active Current [A],current_command,index,
0,-1,24034348,0,5.76653438541519E-08,-0.0657815180009322,-0.112185945473897,0,
0.001,-4,24034342,-6131,-6459.39409732819,-0.113346046478469,-0.11584412905728,1,
0.002,-22,24034342,-873,-417.656525969505,-0.126181050714095,-0.135013103983823,2,
0.003,-51,24034342,-522,-772.105380892754,-0.160156397957138,-0.16764229255088,3,
0.004,-87,24034339,-2327,-1955.05082607269,-0.188847797112913,-0.197518112767341,4,
0.005,-135,24034338,-1888,-1702.10838317871,-0.231882607314333,-0.236078384725857,5,
0.006,-190,24034335,-2369,-2930.93949556351,-0.27491736470347,-0.282693269144772,6,
0.007,-255,24034331,-3995,-3675.98950862885,-0.331543679879815,-0.334473599690966,7,
0.008,-326,24034323,-7775,-8461.47358417511,-0.38892422486731,-0.391729789357157,8,
0.009,-387,24034295,-23744,-26847.9752540588,-0.435715555122215,-0.439324992968807,9,
0.01,-422,24034231,-59968,-63884.6063613892,-0.452655939745739,-0.454008814383656,10,
0.011,-432,24034133,-95325,-98668.4226989746,-0.448995133152323,-0.447215570479614,11,
0.012,-424,24034006,-124023,-126678.72428894,-0.43731823185658,-0.437858114216965,12,
0.013,-399,24033852,-152064,-154844.551086426,-0.426090058921545,-0.425439728474259,13,
0.014,-362,24033676,-173853,-175735.454559326,-0.409985587106178,-0.408930116035378,14,
0.015,-321,24033486,-189666,-190139.198303223,-0.395809080477477,-0.393517485121379,15,
0.016,-278,24033285,-201369,-202485.313415527,-0.38267955974618,-0.383252361762686,16,
0.017,-239,24033077,-206778,-207453.25088501,-0.380746137290316,-0.37921046173841,17,
0.018,-208,24032867,-209721,-209674.377441406,-0.375969688832186,-0.380583334627318,18,
0.019,-184,24032654,-212474,-213490.772247314,-0.386246782974922,-0.385470864919739,19,
0.02,-163,24032435,-217115,-217260.341644287,-0.387919031089496,-0.389660146420511,20,
0.021,-149,24032212,-223320,-223058.50982666,-0.390352445028327,-0.394364699758,21,
0.022,-141,24031985,-228597,-228734.111785889,-0.401399507042413,-0.402264290565029,22,
0.023,-135,24031750,-233635,-234693.10760498,-0.408257745262176,-0.411210374354823,23,
0.024,-129,24031505,-243814,-244860.057830811,-0.416644054065159,-0.416499489243733,24,
0.025,-124,24031252,-253085,-253863.487243652,-0.420362813336624,-0.420430589099226,25,
0.026,-120,24030989,-262022,-263961.734771729,-0.417803389291635,-0.424578289729538,26,
0.027,-117,24030717,-272792,-274388.542175293,-0.424935723257818,-0.42764795084031,27,
0.028,-111,24030432,-284119,-284893.741607666,-0.426963503658499,-0.429689814516337,28,
0.029,-105,24030137,-294036,-295626.945495605,-0.425395542197862,-0.429835118709718,29,
0.03,-95,24029829,-305528,-307008.190155029,-0.424679337230145,-0.428521289952698,30,
0.031,-85,24029510,-317429,-319081.058502197,-0.42322523905068,-0.425934333104408,31,
0.032,-74,24029180,-330278,-331907.691955566,-0.420731583901556,-0.421277275613022,32,
0.033,-60,24028837,-341116,-341936.75994873,-0.417715544861665,-0.415838525923562,33,
0.034,-47,24028486,-349926,-351224.784851074,-0.411821905378531,-0.412049103818049,34,
0.035,-35,24028125,-360864,-361753.921508789,-0.410791256080529,-0.408563986084573,35,
0.036,-22,24027753,-370416,-371912.19329834,-0.406041601053744,-0.403437990732357,36,
0.037,-10,24027372,-381215,-382575.340270996,-0.399145514031488,-0.396918912991111,37,
0.038,0,24026983,-388020,-388475.723266602,-0.390620696215478,-0.393991880251406,38,
0.039,7,24026588,-394806,-395150.566101074,-0.392231822915051,-0.395389187623039,39,
0.04,11,24026185,-401625,-402547.836303711,-0.394628725962548,-0.396977429000174,40,
0.041,12,24025775,-410072,-410324.859619141,-0.395377604129067,-0.397747819369783,41,
0.042,13,24025355,-418486,-419799.652099609,-0.396192075150509,-0.397906080176483,42,
0.043,14,24024925,-427752,-429121.513366699,-0.393977656143306,-0.398410331850243,43,
0.044,18,24024483,-440778,-442021.942138672,-0.394197566487833,-0.394158767064255,44,
0.045,23,24024029,-454035,-454799.613952637,-0.390566686854527,-0.387430799141441,45,
0.046,31,24023562,-465198,-467008.55255127,-0.378438768665831,-0.380388774178414,46,
