MTN: Move Mode -GRAVITY_ZONE
POS: {v: 70.1845, s: -14.4322, e: 84.7458, r: -6.64181, p: 18.608}
VEL: {v: -0.0355786, s: 0, e: 0, r: 0, p: 0.0199395}
POS: {v: 70.0468, s: -14.4224, e: 84.7357, r: -6.6418, p: 18.608}
VEL: {v: -3.45671, s: 0.102193, e: -0.0190231, r: 0, p: -0.0176646}
POS: {v: 70.0468, s: -14.4224, e: 84.7357, r: -6.6418, p: 18.608}
VEL: {v: -3.45671, s: 0.102193, e: -0.0190231, r: 0, p: -0.0176646}
POS: {v: 69.8663, s: -14.4294, e: 84.75, r: -6.64174, p: 18.6079}
VEL: {v: 0.0972018, s: -0.854271, e: 0.853107, r: 0.0214766, p: -0.0233749}
POS: {v: 70.0169, s: -14.4732, e: 84.7867, r: -6.64218, p: 18.6064}
VEL: {v: 20.5152, s: -0.966452, e: 0.913662, r: -0.0572892, p: -0.0516708}
POS: {v: 70.7518, s: -14.5062, e: 84.8217, r: -6.64359, p: 18.6049}
VEL: {v: 30.5336, s: -0.972013, e: 1.03226, r: -0.165514, p: -0.0506727}
POS: {v: 72.6858, s: -14.5685, e: 84.8929, r: -6.65405, p: 18.6026}
VEL: {v: 35.8681, s: -1.4309, e: 1.76113, r: -0.116977, p: -0.0582631}
POS: {v: 74.2928, s: -14.6293, e: 84.9535, r: -6.65851, p: 18.6005}
VEL: {v: 43.3014, s: -1.66509, e: 1.99885, r: -0.148487, p: -0.0527154}
POS: {v: 77.0001, s: -14.7418, e: 85.0899, r: -6.6691, p: 18.596}
VEL: {v: 49.9716, s: -2.38695, e: 2.66739, r: -0.229926, p: -0.0977938}
POS: {v: 78.7464, s: -14.8295, e: 85.191, r: -6.67732, p: 18.5925}
VEL: {v: 49.9374, s: -2.57708, e: 3.04329, r: -0.238714, p: -0.119312}
POS: {v: 81.6969, s: -15.0053, e: 85.3964, r: -6.69319, p: 18.586}
VEL: {v: 49.9212, s: -2.72076, e: 3.18485, r: -0.25803, p: -0.096285}
POS: {v: 83.7477, s: -15.1007, e: 85.522, r: -6.70364, p: 18.5817}
VEL: {v: 50.1489, s: -2.58207, e: 3.07972, r: -0.255467, p: -0.0835879}
POS: {v: 86.7961, s: -15.253, e: 85.694, r: -6.71765, p: 18.5765}
VEL: {v: 49.8061, s: -2.41645, e: 3.00313, r: -0.248967, p: -0.0960297}
