POS: {v: 131.892, s: 1.20197, e: 68.1869, r: -11.657, p: -4.94684}
VEL: {v: -0.00341059, s: 0, e: 0, r: -0.00289284, p: -0.0105152}
POS: {v: 131.897, s: 1.20197, e: 68.1869, r: -11.657, p: -4.9474}
VEL: {v: -3.58763, s: -0.0692395, e: -0.0191292, r: -0.0266398, p: 0.00886714}
POS: {v: 131.538, s: 1.20136, e: 68.1867, r: -11.6571, p: -4.94626}
VEL: {v: 0.134718, s: 0.132716, e: 0.0572618, r: 0.00428433, p: -0.0568704}
POS: {v: 131.546, s: 1.20466, e: 68.1882, r: -11.6571, p: -4.94707}
VEL: {v: 3.61499, s: 0.1353, e: 0.0664374, r: -0.0174303, p: -0.0614432}
POS: {v: 131.836, s: 1.21062, e: 68.1912, r: -11.657, p: -4.9496}
VEL: {v: 19.0306, s: 0.212126, e: 0.138384, r: 0.00212386, p: -0.0660625}
POS: {v: 133.459, s: 1.2272, e: 68.1996, r: -11.6565, p: -4.95497}
VEL: {v: 30.5845, s: 0.309877, e: 0.151332, r: 0.0321325, p: -0.0961458}
POS: {v: 134.763, s: 1.24039, e: 68.2066, r: -11.6554, p: -4.95907}
VEL: {v: 36.295, s: 0.393623, e: 0.205478, r: 0.064796, p: -0.0950548}
POS: {v: 134.763, s: 1.24039, e: 68.2066, r: -11.6554, p: -4.95907}
VEL: {v: 36.295, s: 0.393623, e: 0.205478, r: 0.064796, p: -0.0950548}
POS: {v: 137.137, s: 1.26705, e: 68.2209, r: -11.6499, p: -4.96736}
VEL: {v: 48.9563, s: 0.529766, e: 0.288132, r: 0.101963, p: -0.11518}
POS: {v: 138.915, s: 1.28747, e: 68.232, r: -11.6471, p: -4.97576}
VEL: {v: 50.1077, s: 0.630853, e: 0.335158, r: 0.0306495, p: -0.2688}
POS: {v: 141.211, s: 1.32276, e: 68.2526, r: -11.6443, p: -4.98556}
VEL: {v: 50.0591, s: 0.674532, e: 0.371251, r: 0.0844599, p: -0.211627}
POS: {v: 146.71, s: 1.39661, e: 68.2932, r: -11.6353, p: -5.00849}
VEL: {v: 50.0123, s: 0.732613, e: 0.419034, r: 0.0718999, p: -0.208726}
POS: {v: 146.71, s: 1.39661, e: 68.2932, r: -11.6353, p: -5.00849}
VEL: {v: 50.0123, s: 0.732613, e: 0.419034, r: 0.0718999, p: -0.208726}
POS: {v: 149.011, s: 1.42993, e: 68.3121, r: -11.6318, p: -5.01882}
VEL: {v: 49.8536, s: 0.708819, e: 0.406758, r: 0.111026, p: -0.289691}
POS: {v: 151.71, s: 1.46784, e: 68.3337, r: -11.6272, p: -5.03089}
VEL: {v: 50.0512, s: 0.696471, e: 0.386423, r: 0.0677803, p: -0.184562}
POS: {v: 154.61, s: 1.50734, e: 68.3561, r: -11.6223, p: -5.04345}
VEL: {v: 50.0142, s: 0.670709, e: 0.374839, r: 0.0724675, p: -0.208447}
POS: {v: 156.51, s: 1.53246, e: 68.3703, r: -11.6193, p: -5.0516}
VEL: {v: 50.0298, s: 0.629648, e: 0.378206, r: 0.105094, p: -0.168545}
POS: {v: 158.76, s: 1.56148, e: 68.3874, r: -11.6154, p: -5.06037}
VEL: {v: 50.1549, s: 0.65363, e: 0.363164, r: 0.0764039, p: -0.170843}
POS: {v: 161.411, s: 1.59657, e: 68.4069, r: -11.6109, p: -5.07142}
VEL: {v: 50.2222, s: 0.638386, e: 0.364197, r: 0.0779053, p: -0.172236}
POS: {v: 163.761, s: 1.62605, e: 68.4235, r: -11.6071, p: -5.08059}
VEL: {v: 50.0149, s: 0.64655, e: 0.360417, r: 0.109983, p: -0.243684}
POS: {v: 166.61, s: 1.66358, e: 68.4444, r: -11.6024, p: -5.09234}
VEL: {v: 49.923, s: 0.630407, e: 0.356924, r: 0.0519613, p: -0.182148}
POS: {v: 168.61, s: 1.68818, e: 68.4581, r: -11.5993, p: -5.09983}
VEL: {v: 49.9578, s: 0.632867, e: 0.3475, r: 0.0708746, p: -0.216943}
POS: {v: 171.41, s: 1.72365, e: 68.4778, r: -11.5947, p: -5.11088}
VEL: {v: 49.9247, s: 0.633338, e: 0.350742, r: 0.0943102, p: -0.176739}
POS: {v: 173.91, s: 1.75573, e: 68.4956, r: -11.5906, p: -5.12103}
VEL: {v: 50.0643, s: 0.62099, e: 0.343048, r: 0.0550555, p: -0.233656}
POS: {v: 176.61, s: 1.7897, e: 68.514, r: -11.5861, p: -5.1315}
VEL: {v: 50.1094, s: 0.626503, e: 0.342722, r: 0.057692, p: -0.182496}
POS: {v: 179.41, s: 1.82548, e: 68.5335, r: -11.5815, p: -5.14241}
VEL: {v: 49.9698, s: 0.617296, e: 0.33548, r: 0.0562273, p: -0.188949}
POS: {v: 181.261, s: 1.84829, e: 68.5461, r: -11.5784, p: -5.14923}
VEL: {v: 50.0291, s: 0.60918, e: 0.335963, r: 0.0853754, p: -0.19134}
POS: {v: 184.01, s: 1.88095, e: 68.5642, r: -11.5742, p: -5.15933}
VEL: {v: 50.014, s: 0.596966, e: 0.33135, r: 0.0593215, p: -0.209724}
POS: {v: 186.71, s: 1.91312, e: 68.5821, r: -11.5699, p: -5.16947}
VEL: {v: 49.961, s: 0.588662, e: 0.322717, r: 0.0996382, p: -0.181335}
POS: {v: 189.01, s: 1.93996, e: 68.5972, r: -11.566, p: -5.17753}
VEL: {v: 50.022, s: 0.578938, e: 0.328693, r: 0.102952, p: -0.195216}
POS: {v: 191.81, s: 1.97187, e: 68.6153, r: -11.5614, p: -5.18741}
VEL: {v: 50.0198, s: 0.558686, e: 0.314535, r: 0.0780151, p: -0.151972}
POS: {v: 193.611, s: 1.99174, e: 68.6267, r: -11.5583, p: -5.19373}
VEL: {v: 49.9093, s: 0.535837, e: 0.313396, r: 0.126022, p: -0.173466}
POS: {v: 196.61, s: 2.02403, e: 68.6458, r: -11.5531, p: -5.20373}
VEL: {v: 50.1963, s: 0.519237, e: 0.308649, r: 0.0883415, p: -0.140017}
POS: {v: 198.91, s: 2.04648, e: 68.6596, r: -11.5495, p: -5.21065}
VEL: {v: 50.0254, s: 0.486293, e: 0.300738, r: 0.0926991, p: -0.142106}
POS: {v: 201.51, s: 2.07134, e: 68.6755, r: -11.5452, p: -5.21864}
VEL: {v: 50.0229, s: 0.469143, e: 0.293178, r: 0.0743167, p: -0.160583}
POS: {v: 203.611, s: 2.09285, e: 68.6894, r: -11.541, p: -5.22548}
VEL: {v: 50.0295, s: 0.422608, e: 0.28337, r: 0.118716, p: -0.181916}
POS: {v: 206.61, s: 2.11452, e: 68.704, r: -11.5364, p: -5.23217}
VEL: {v: 50.0092, s: 0.371491, e: 0.272815, r: 0.0735843, p: -0.107845}
POS: {v: 208.911, s: 2.12985, e: 68.7152, r: -11.5329, p: -5.23734}
VEL: {v: 50.0046, s: 0.307746, e: 0.212783, r: 0.0660227, p: -0.105175}
POS: {v: 211.21, s: 2.14186, e: 68.7242, r: -11.53, p: -5.24122}
VEL: {v: 48.9381, s: 0.215392, e: 0.170233, r: 0.0630932, p: -0.099674}
POS: {v: 213.917, s: 2.15393, e: 68.7335, r: -11.527, p: -5.24503}
VEL: {v: 38.884, s: 0.183998, e: 0.132238, r: 0.0412504, p: -0.054642}
POS: {v: 216.536, s: 2.16778, e: 68.7444, r: -11.5231, p: -5.24955}
VEL: {v: 16.217, s: 0.117464, e: 0.0981648, r: 0.0428983, p: -0.0655518}
POS: {v: 216.536, s: 2.16778, e: 68.7444, r: -11.5231, p: -5.24955}
VEL: {v: 16.217, s: 0.117464, e: 0.0981648, r: 0.0428983, p: -0.0655518}
POS: {v: 217.227, s: 2.1728, e: 68.7483, r: -11.5216, p: -5.25118}
VEL: {v: 10.8629, s: 0.095944, e: 0.0778646, r: 0.000768983, p: 0.00199627}
POS: {v: 217.896, s: 2.17901, e: 68.7529, r: -11.5199, p: -5.25311}
VEL: {v: 10.0974, s: 0.092291, e: 0.0659344, r: 0.0160571, p: -0.0560115}
POS: {v: 218.33, s: 2.18337, e: 68.7559, r: -11.5188, p: -5.25454}
VEL: {v: 9.14859, s: 0.0889323, e: 0.0585586, r: -0.0016112, p: -0.0337276}
POS: {v: 218.686, s: 2.1869, e: 68.7583, r: -11.5179, p: -5.25564}
VEL: {v: 8.04728, s: 0.0808791, e: 0.0557332, r: 0.024461, p: -0.0281799}
POS: {v: 219.091, s: 2.19123, e: 68.7611, r: -11.5169, p: -5.25696}
VEL: {v: 6.64972, s: 0.0763571, e: 0.0479409, r: 0.0216414, p: -0.0223535}
POS: {v: 219.492, s: 2.19563, e: 68.7639, r: -11.5159, p: -5.25837}
VEL: {v: 5.79048, s: 0.0678188, e: 0.03906, r: 0.00992354, p: -0.0410859}
