POS: {v: 115.439, s: -3.25264, e: 86.186, r: 0.774426, p: 17.7677}
VEL: {v: 0.145264, s: 0, e: 0, r: 3.66211e-05, p: -0.0144459}
POS: {v: 114.766, s: -3.20519, e: 86.1396, r: 0.774463, p: 17.7676}
VEL: {v: -4.70695, s: 0.0197525, e: 0.292525, r: -0.0210388, p: -0.0188404}
POS: {v: 114.766, s: -3.20519, e: 86.1396, r: 0.774463, p: 17.7676}
VEL: {v: -4.70695, s: 0.0197525, e: 0.292525, r: -0.0210388, p: -0.0188404}
POS: {v: 114.561, s: -3.20165, e: 86.1456, r: 0.774463, p: 17.7676}
VEL: {v: -1.26419, s: -0.0547354, e: 1.55446, r: 0, p: -0.0180223}
POS: {v: 115.447, s: -3.43534, e: 86.3954, r: 0.773895, p: 17.7677}
VEL: {v: 38.1229, s: -2.80216, e: 1.0567, r: -0.00285645, p: -0.0278398}
POS: {v: 115.447, s: -3.43534, e: 86.3954, r: 0.773895, p: 17.7677}
VEL: {v: 38.1229, s: -2.80216, e: 1.0567, r: -0.00285645, p: -0.0278398}
POS: {v: 115.447, s: -3.43534, e: 86.3954, r: 0.773895, p: 17.7677}
VEL: {v: 38.1229, s: -2.80216, e: 1.0567, r: -0.00285645, p: -0.0278398}
POS: {v: 115.447, s: -3.43534, e: 86.3954, r: 0.773895, p: 17.7677}
VEL: {v: 38.1229, s: -2.80216, e: 1.0567, r: -0.00285645, p: -0.0278398}
POS: {v: 125.902, s: -3.74398, e: 86.6527, r: 0.770984, p: 17.7678}
VEL: {v: 77.5024, s: -2.33166, e: 2.29278, r: -0.0451721, p: 0.000374003}
POS: {v: 125.902, s: -3.74398, e: 86.6527, r: 0.770984, p: 17.7678}
VEL: {v: 77.5024, s: -2.33166, e: 2.29278, r: -0.0451721, p: 0.000374003}
POS: {v: 125.902, s: -3.74398, e: 86.6527, r: 0.770984, p: 17.7678}
VEL: {v: 77.5024, s: -2.33166, e: 2.29278, r: -0.0451721, p: 0.000374003}
POS: {v: 140.381, s: -4.27642, e: 87.1598, r: 0.769116, p: 17.7679}
VEL: {v: 75.8381, s: -2.88884, e: 2.75113, r: 0.00487061, p: 0.000187001}
POS: {v: 140.381, s: -4.27642, e: 87.1598, r: 0.769116, p: 17.7679}
VEL: {v: 75.8381, s: -2.88884, e: 2.75113, r: 0.00487061, p: 0.000187001}
POS: {v: 140.381, s: -4.27642, e: 87.1598, r: 0.769116, p: 17.7679}
VEL: {v: 75.8381, s: -2.88884, e: 2.75113, r: 0.00487061, p: 0.000187001}
POS: {v: 140.381, s: -4.27642, e: 87.1598, r: 0.769116, p: 17.7679}
VEL: {v: 75.8381, s: -2.88884, e: 2.75113, r: 0.00487061, p: 0.000187001}
POS: {v: 151.877, s: -4.70454, e: 87.5691, r: 0.769354, p: 17.7679}
VEL: {v: 76.2522, s: -2.91799, e: 2.78906, r: 0, p: 0.00673205}
POS: {v: 151.877, s: -4.70454, e: 87.5691, r: 0.769354, p: 17.7679}
VEL: {v: 76.2522, s: -2.91799, e: 2.78906, r: 0, p: 0.00673205}
POS: {v: 151.877, s: -4.70454, e: 87.5691, r: 0.769354, p: 17.7679}
VEL: {v: 76.2522, s: -2.91799, e: 2.78906, r: 0, p: 0.00673205}
POS: {v: 160.019, s: -5.01906, e: 87.872, r: 0.769427, p: 17.7678}
VEL: {v: 75.9115, s: -2.97322, e: 2.84788, r: 0, p: 0.0146095}
POS: {v: 160.019, s: -5.01906, e: 87.872, r: 0.769427, p: 17.7678}
VEL: {v: 75.9115, s: -2.97322, e: 2.84788, r: 0, p: 0.0146095}
POS: {v: 160.019, s: -5.01906, e: 87.872, r: 0.769427, p: 17.7678}
VEL: {v: 75.9115, s: -2.97322, e: 2.84788, r: 0, p: 0.0146095}
POS: {v: 171.808, s: -5.48555, e: 88.3264, r: 0.769922, p: 17.7678}
VEL: {v: 75.8524, s: -2.9447, e: 2.87095, r: 5.49316e-05, p: -2.33752e-05}
POS: {v: 176.222, s: -5.62326, e: 88.457, r: 0.770233, p: 17.7678}
VEL: {v: 76.3853, s: -2.86954, e: 2.81097, r: -0.00117188, p: 0.0231882}
POS: {v: 180.022, s: -5.795, e: 88.6245, r: 0.770856, p: 17.7678}
VEL: {v: 76.192, s: -2.9886, e: 2.87207, r: 0.0253784, p: 0}
POS: {v: 180.022, s: -5.795, e: 88.6245, r: 0.770856, p: 17.7678}
VEL: {v: 76.192, s: -2.9886, e: 2.87207, r: 0.0253784, p: 0}
POS: {v: 183.292, s: -5.9221, e: 88.7489, r: 0.771533, p: 17.7678}
VEL: {v: 76.2564, s: -2.93807, e: 2.94002, r: 0.0122314, p: 4.67503e-05}
POS: {v: 186.565, s: -6.05184, e: 88.8767, r: 0.772485, p: 17.7677}
VEL: {v: 76.4425, s: -2.95846, e: 2.89315, r: 0.020343, p: 0.000116876}
POS: {v: 189.686, s: -6.1779, e: 89.0022, r: 0.773529, p: 17.7677}
VEL: {v: 76.2311, s: -2.89531, e: 2.9568, r: 0.0236572, p: 0}
POS: {v: 195.399, s: -6.38761, e: 89.2222, r: 0.774939, p: 17.7676}
VEL: {v: 76.3011, s: -2.91079, e: 3.01377, r: 0.0255432, p: 0.00187001}
POS: {v: 197.612, s: -6.47983, e: 89.3126, r: 0.775415, p: 17.7676}
VEL: {v: 76.0771, s: -2.8335, e: 3.02866, r: 0.0258911, p: -0.0137446}
POS: {v: 202.804, s: -6.66413, e: 89.5106, r: 0.776386, p: 17.7675}
VEL: {v: 76.7753, s: -2.75802, e: 3.1092, r: 0.0282715, p: 0.0100279}
POS: {v: 205.938, s: -6.80044, e: 89.6667, r: 0.777338, p: 17.7675}
VEL: {v: 76.6512, s: -2.72873, e: 3.2907, r: 0.0208923, p: 0}
POS: {v: 209.781, s: -6.90967, e: 89.7964, r: 0.778326, p: 17.7674}
VEL: {v: 76.4037, s: -2.23977, e: 2.82923, r: 0.0158569, p: 0}
POS: {v: 215.089, s: -7.02001, e: 89.9264, r: 0.779828, p: 17.7674}
VEL: {v: 32.738, s: 0.00751063, e: 0.0674118, r: -0.0695618, p: 0.0143056}
POS: {v: 216.682, s: -7.02035, e: 89.9335, r: 0.777814, p: 17.7651}
VEL: {v: 18.5321, s: 0.456863, e: -0.595484, r: -1.27581, p: -2.9042}
POS: {v: 217.132, s: -7.00273, e: 89.9092, r: 0.737476, p: 17.6718}
VEL: {v: 7.26723, s: 1.69273, e: -3.18992, r: -2.1165, p: -6.56718}
POS: {v: 216.992, s: -6.05716, e: 89.0189, r: 0.419769, p: 16.4793}
VEL: {v: -1.04889, s: 8.75654, e: -6.70874, r: -2.42496, p: -8.78773}
POS: {v: 216.992, s: -6.05716, e: 89.0189, r: 0.419769, p: 16.4793}
VEL: {v: -1.04889, s: 8.75654, e: -6.70874, r: -2.42496, p: -8.78773}
POS: {v: 216.977, s: -5.60178, e: 88.6607, r: 0.291339, p: 16.0135}
VEL: {v: 2.88101, s: 9.15319, e: -7.49672, r: -2.66091, p: -10.3173}
POS: {v: 216.977, s: -5.60178, e: 88.6607, r: 0.291339, p: 16.0135}
VEL: {v: 2.88101, s: 9.15319, e: -7.49672, r: -2.66091, p: -10.3173}
POS: {v: 218.667, s: -4.65785, e: 87.8576, r: 0.000805664, p: 14.9262}
VEL: {v: 32.9819, s: 9.49801, e: -8.30825, r: -3.1463, p: -11.5381}
POS: {v: 220.512, s: -4.14403, e: 87.401, r: -0.163074, p: 14.3021}
VEL: {v: 33.8232, s: 9.57022, e: -8.54013, r: -2.95549, p: -11.0385}
POS: {v: 222.028, s: -3.7119, e: 87.012, r: -0.305475, p: 13.7881}
VEL: {v: 33.5386, s: 9.62068, e: -8.76524, r: -2.93234, p: -11.8415}
POS: {v: 222.028, s: -3.7119, e: 87.012, r: -0.305475, p: 13.7881}
VEL: {v: 33.5386, s: 9.62068, e: -8.76524, r: -2.93234, p: -11.8415}
POS: {v: 225.543, s: -2.68798, e: 86.0759, r: -0.620215, p: 12.5772}
VEL: {v: 32.6623, s: 9.76715, e: -8.95586, r: -2.96422, p: -11.7231}
POS: {v: 228.023, s: -1.92699, e: 85.3685, r: -0.854553, p: 11.6586}
VEL: {v: 31.2008, s: 9.94679, e: -9.22383, r: -2.96968, p: -11.3989}
POS: {v: 228.023, s: -1.92699, e: 85.3685, r: -0.854553, p: 11.6586}
VEL: {v: 31.2008, s: 9.94679, e: -9.22383, r: -2.96968, p: -11.3989}
POS: {v: 228.023, s: -1.92699, e: 85.3685, r: -0.854553, p: 11.6586}
VEL: {v: 31.2008, s: 9.94679, e: -9.22383, r: -2.96968, p: -11.3989}
POS: {v: 231.388, s: -0.834552, e: 84.3358, r: -1.18652, p: 10.3692}
VEL: {v: 29.1901, s: 9.88759, e: -9.34635, r: -2.98632, p: -11.8685}
POS: {v: 232.979, s: -0.279029, e: 83.8056, r: -1.34458, p: 9.7352}
VEL: {v: 28.0167, s: 10.0112, e: -9.54901, r: -2.91134, p: -11.4645}
POS: {v: 234.344, s: 0.250364, e: 83.2958, r: -1.49722, p: 9.11942}
VEL: {v: 27.9959, s: 10.1511, e: -9.72856, r: -2.74219, p: -11.5995}
POS: {v: 235.805, s: 0.731407, e: 82.8194, r: -1.63909, p: 8.54}
VEL: {v: 27.2313, s: 10.022, e: -9.82723, r: -2.77205, p: -11.707}
POS: {v: 238.367, s: 1.66013, e: 81.9219, r: -1.88551, p: 7.50303}
VEL: {v: 26.5298, s: 10.1382, e: -10.0098, r: -2.63599, p: -11.5772}
POS: {v: 238.367, s: 1.66013, e: 81.9219, r: -1.88551, p: 7.50303}
VEL: {v: 26.5298, s: 10.1382, e: -10.0098, r: -2.63599, p: -11.5772}
POS: {v: 238.367, s: 1.66013, e: 81.9219, r: -1.88551, p: 7.50303}
VEL: {v: 26.5298, s: 10.1382, e: -10.0098, r: -2.63599, p: -11.5772}
POS: {v: 241.122, s: 2.73072, e: 80.8625, r: -2.15819, p: 6.29147}
VEL: {v: 26.7979, s: 10.3404, e: -10.2489, r: -2.63395, p: -11.2682}
POS: {v: 242.373, s: 3.16273, e: 80.4308, r: -2.26588, p: 5.81219}
VEL: {v: 26.45, s: 10.2666, e: -10.2962, r: -2.72739, p: -11.5382}
POS: {v: 242.373, s: 3.16273, e: 80.4308, r: -2.26588, p: 5.81219}
VEL: {v: 26.45, s: 10.2666, e: -10.2962, r: -2.72739, p: -11.5382}
POS: {v: 244.972, s: 4.22871, e: 79.3434, r: -2.52649, p: 4.63927}
VEL: {v: 25.4636, s: 10.4035, e: -10.6408, r: -2.70833, p: -11.0301}
POS: {v: 244.972, s: 4.22871, e: 79.3434, r: -2.52649, p: 4.63927}
VEL: {v: 25.4636, s: 10.4035, e: -10.6408, r: -2.70833, p: -11.0301}
POS: {v: 247.243, s: 5.20153, e: 78.3565, r: -2.75621, p: 3.59232}
VEL: {v: 24.1792, s: 10.4582, e: -10.8888, r: -2.65302, p: -11.4971}
