POS: {v: 174.555, s: 12.3629, e: 69.396, r: -5.2021, p: -5.84685}
VEL: {v: -0.0122833, s: 0, e: 0.00556428, r: 0, p: 0.00077138}
POS: {v: 174.351, s: 12.3555, e: 69.399, r: -5.20219, p: -5.84664}
VEL: {v: -10.7407, s: -0.159323, e: 0.054511, r: -5.49316e-05, p: 7.01255e-05}
POS: {v: 173.606, s: 12.378, e: 69.3778, r: -5.20212, p: -5.848}
VEL: {v: -0.00167847, s: 1.08354, e: -0.363993, r: 0.0246094, p: -0.0383586}
POS: {v: 173.606, s: 12.378, e: 69.3778, r: -5.20212, p: -5.848}
VEL: {v: -0.00167847, s: 1.08354, e: -0.363993, r: 0.0246094, p: -0.0383586}
POS: {v: 173.606, s: 12.378, e: 69.3778, r: -5.20212, p: -5.848}
VEL: {v: -0.00167847, s: 1.08354, e: -0.363993, r: 0.0246094, p: -0.0383586}
POS: {v: 174.636, s: 12.4596, e: 69.3444, r: -5.20007, p: -5.85059}
VEL: {v: 37.3797, s: 0.553155, e: -0.286462, r: 0.0397888, p: -0.017321}
POS: {v: 174.636, s: 12.4596, e: 69.3444, r: -5.20007, p: -5.85059}
VEL: {v: 37.3797, s: 0.553155, e: -0.286462, r: 0.0397888, p: -0.017321}
POS: {v: 180.523, s: 12.5199, e: 69.3119, r: -5.19393, p: -5.8527}
VEL: {v: 78.7293, s: 0.687684, e: -0.405988, r: 0.0287659, p: -0.031089}
POS: {v: 180.523, s: 12.5199, e: 69.3119, r: -5.19393, p: -5.8527}
VEL: {v: 78.7293, s: 0.687684, e: -0.405988, r: 0.0287659, p: -0.031089}
POS: {v: 183.776, s: 12.5472, e: 69.2967, r: -5.1934, p: -5.8538}
VEL: {v: 79.1788, s: 0.795821, e: -0.423192, r: 0.0174316, p: -0.0376808}
POS: {v: 191.491, s: 12.6308, e: 69.2488, r: -5.19197, p: -5.85695}
VEL: {v: 79.4402, s: 0.87488, e: -0.483947, r: 0.0292053, p: -0.0371665}
POS: {v: 191.491, s: 12.6308, e: 69.2488, r: -5.19197, p: -5.85695}
VEL: {v: 79.4402, s: 0.87488, e: -0.483947, r: 0.0292053, p: -0.0371665}
POS: {v: 197.452, s: 12.699, e: 69.2145, r: -5.18879, p: -5.85922}
VEL: {v: 79.2429, s: 0.938413, e: -0.514043, r: 0.0382507, p: -0.0349225}
POS: {v: 197.452, s: 12.699, e: 69.2145, r: -5.18879, p: -5.85922}
VEL: {v: 79.2429, s: 0.938413, e: -0.514043, r: 0.0382507, p: -0.0349225}
POS: {v: 200.951, s: 12.7369, e: 69.1935, r: -5.18701, p: -5.86074}
VEL: {v: 79.2669, s: 0.95766, e: -0.541315, r: 0.0259277, p: -0.0336369}
POS: {v: 209.526, s: 12.8477, e: 69.1313, r: -5.18355, p: -5.86462}
VEL: {v: 79.4878, s: 1.00155, e: -0.555885, r: 0.0355957, p: -0.0528279}
POS: {v: 212.544, s: 12.8846, e: 69.1104, r: -5.18198, p: -5.86597}
VEL: {v: 79.5629, s: 1.00098, e: -0.56389, r: 0.0461792, p: -0.0493684}
POS: {v: 215.166, s: 12.9179, e: 69.0914, r: -5.18055, p: -5.86721}
VEL: {v: 79.1996, s: 1.02592, e: -0.59146, r: 0.053833, p: -0.0346654}
POS: {v: 215.166, s: 12.9179, e: 69.0914, r: -5.18055, p: -5.86721}
VEL: {v: 79.1996, s: 1.02592, e: -0.59146, r: 0.053833, p: -0.0346654}
POS: {v: 227.383, s: 13.0813, e: 68.9988, r: -5.17463, p: -5.87299}
VEL: {v: 79.3176, s: 1.042, e: -0.593621, r: 0.0458862, p: -0.0399014}
POS: {v: 227.383, s: 13.0813, e: 68.9988, r: -5.17463, p: -5.87299}
VEL: {v: 79.3176, s: 1.042, e: -0.593621, r: 0.0458862, p: -0.0399014}
POS: {v: 232.067, s: 13.1397, e: 68.9653, r: -5.17194, p: -5.87521}
VEL: {v: 79.4913, s: 1.04911, e: -0.601685, r: 0.0491638, p: -0.0340342}
POS: {v: 236.271, s: 13.1956, e: 68.933, r: -5.16947, p: -5.87722}
VEL: {v: 79.2198, s: 1.061, e: -0.612632, r: 0.0427368, p: -0.0395274}
POS: {v: 239.048, s: 13.2324, e: 68.9114, r: -5.16782, p: -5.87857}
VEL: {v: 79.3739, s: 1.03162, e: -0.616448, r: 0.0354492, p: -0.0347355}
POS: {v: 239.048, s: 13.2324, e: 68.9114, r: -5.16782, p: -5.87857}
VEL: {v: 79.3739, s: 1.03162, e: -0.616448, r: 0.0354492, p: -0.0347355}
POS: {v: 244.528, s: 13.3072, e: 68.8668, r: -5.16517, p: -5.88117}
VEL: {v: 79.3029, s: 1.02228, e: -0.632685, r: 0.0486145, p: -0.0440154}
POS: {v: 248.576, s: 13.3563, e: 68.8366, r: -5.16275, p: -5.88323}
VEL: {v: 79.3835, s: 1.02568, e: -0.645095, r: 0.0417847, p: -0.0373068}
POS: {v: 252.152, s: 13.3982, e: 68.8102, r: -5.16077, p: -5.88477}
VEL: {v: 79.4908, s: 1.00806, e: -0.648242, r: 0.0531921, p: -0.038195}
POS: {v: 256.047, s: 13.4522, e: 68.775, r: -5.15806, p: -5.88668}
VEL: {v: 79.3446, s: 0.993348, e: -0.670299, r: 0.055957, p: -0.0232115}
