POS: {v: 176.968, s: 12.3534, e: 69.4016, r: -5.20199, p: -5.84217}
VEL: {v: 0, s: -0.00319783, e: 0, r: 0.00613355, p: -0.0326831}
POS: {v: 176.729, s: 12.349, e: 69.4034, r: -5.202, p: -5.84207}
VEL: {v: -4.79544, s: -0.0416085, e: 0.00444828, r: 0, p: 0}
POS: {v: 176.729, s: 12.349, e: 69.4034, r: -5.202, p: -5.84207}
VEL: {v: -4.79544, s: -0.0416085, e: 0.00444828, r: 0, p: 0}
POS: {v: 176.592, s: 12.3497, e: 69.4027, r: -5.202, p: -5.84207}
VEL: {v: 0, s: 0.253304, e: -0.10145, r: 0, p: 0.00603522}
POS: {v: 176.601, s: 12.3586, e: 69.3991, r: -5.202, p: -5.84219}
VEL: {v: 4.58414, s: 0.285191, e: -0.102648, r: 0, p: 2.32124e-05}
POS: {v: 177.247, s: 12.3738, e: 69.3927, r: -5.20199, p: -5.84256}
VEL: {v: 33.0658, s: 0.421499, e: -0.206955, r: -0.000530964, p: -0.0298976}
POS: {v: 182.411, s: 12.4358, e: 69.3635, r: -5.20158, p: -5.84525}
VEL: {v: 49.9328, s: 0.638041, e: -0.305085, r: 0.0200485, p: -0.0288762}
POS: {v: 182.411, s: 12.4358, e: 69.3635, r: -5.20158, p: -5.84525}
VEL: {v: 49.9328, s: 0.638041, e: -0.305085, r: 0.0200485, p: -0.0288762}
POS: {v: 184.104, s: 12.4583, e: 69.3522, r: -5.20085, p: -5.84609}
VEL: {v: 50.3746, s: 0.692487, e: -0.361195, r: 0.0388336, p: -0.00742797}
POS: {v: 186.405, s: 12.4921, e: 69.3347, r: -5.19821, p: -5.84734}
VEL: {v: 50.0785, s: 0.97863, e: -0.499893, r: 0.13069, p: -0.0238159}
POS: {v: 189.257, s: 12.5441, e: 69.3089, r: -5.19325, p: -5.84922}
VEL: {v: 49.7987, s: 0.885479, e: -0.47039, r: 0.0163134, p: -0.0403432}
POS: {v: 194.605, s: 12.6347, e: 69.2611, r: -5.19256, p: -5.85259}
VEL: {v: 50.2322, s: 0.803319, e: -0.432666, r: -0.000970383, p: -0.0401575}
POS: {v: 196.207, s: 12.6598, e: 69.2473, r: -5.19214, p: -5.85349}
VEL: {v: 50.142, s: 0.771523, e: -0.423306, r: 0.0162036, p: -0.0202876}
POS: {v: 196.207, s: 12.6598, e: 69.2473, r: -5.19214, p: -5.85349}
VEL: {v: 50.142, s: 0.771523, e: -0.423306, r: 0.0162036, p: -0.0202876}
POS: {v: 199.354, s: 12.7118, e: 69.2171, r: -5.18988, p: -5.85554}
VEL: {v: 50.0953, s: 0.742149, e: -0.423196, r: 0.0476037, p: -0.0363506}
POS: {v: 201.755, s: 12.7438, e: 69.2012, r: -5.18794, p: -5.85663}
VEL: {v: 49.9378, s: 0.755258, e: -0.416068, r: 0.0359225, p: -0.0293869}
POS: {v: 203.806, s: 12.7747, e: 69.1838, r: -5.18657, p: -5.85779}
VEL: {v: 50.0735, s: 0.745646, e: -0.406648, r: 0.024461, p: -0.0351436}
POS: {v: 206.307, s: 12.8121, e: 69.1638, r: -5.18547, p: -5.85911}
VEL: {v: 49.9516, s: 0.745963, e: -0.411089, r: 0.00371675, p: -0.0311743}
POS: {v: 209.005, s: 12.8528, e: 69.1416, r: -5.18432, p: -5.86071}
VEL: {v: 50.1004, s: 0.750064, e: -0.41261, r: 0.0296241, p: -0.0410859}
